diagnosis,symptom,frequency
Do not resuscitate status,fatigue,0.2857142857142857
Do not resuscitate status,headache,0.14285714285714285
Do not resuscitate status,cough,0.14285714285714285
Do not resuscitate status,abdominal pain,0.14285714285714285
Do not resuscitate status,shortness of breath,0.14285714285714285
Do not resuscitate status,hip pain,0.14285714285714285
Cervicalgia,cough,0.2
Cervicalgia,diarrhea,0.2
Cervicalgia,leg pain,0.2
Cervicalgia,headache,0.4
Closed fracture of fourth cervical vertebra,numbness,0.16666666666666666
Closed fracture of fourth cervical vertebra,dizziness,0.16666666666666666
Closed fracture of fourth cervical vertebra,cough,0.16666666666666666
Closed fracture of fourth cervical vertebra,shoulder pain,0.16666666666666666
Closed fracture of fourth cervical vertebra,diarrhea,0.16666666666666666
Closed fracture of fourth cervical vertebra,abdominal pain,0.16666666666666666
Hypertrophy (benign) of prostate without urinary obstruction and other lower urinary tract symptom (LUTS),numbness,0.2222222222222222
Hypertrophy (benign) of prostate without urinary obstruction and other lower urinary tract symptom (LUTS),cough,0.1111111111111111
Hypertrophy (benign) of prostate without urinary obstruction and other lower urinary tract symptom (LUTS),shortness of breath,0.2222222222222222
Hypertrophy (benign) of prostate without urinary obstruction and other lower urinary tract symptom (LUTS),diarrhea,0.2222222222222222
Hypertrophy (benign) of prostate without urinary obstruction and other lower urinary tract symptom (LUTS),abdominal pain,0.2222222222222222
Personal history of urinary calculi,cough,0.15384615384615385
Personal history of urinary calculi,shortness of breath,0.15384615384615385
Personal history of urinary calculi,hip pain,0.07692307692307693
Personal history of urinary calculi,diarrhea,0.23076923076923078
Personal history of urinary calculi,abdominal pain,0.15384615384615385
Personal history of urinary calculi,dizziness,0.07692307692307693
Personal history of urinary calculi,nausea and vomiting,0.07692307692307693
Personal history of urinary calculi,headache,0.07692307692307693
Hyperpotassemia,wheezing,0.2
Hyperpotassemia,abdominal pain,0.1
Hyperpotassemia,fatigue,0.1
Hyperpotassemia,diarrhea,0.15
Hyperpotassemia,headache,0.1
Hyperpotassemia,shortness of breath,0.05
Hyperpotassemia,numbness,0.1
Hyperpotassemia,dizziness,0.05
Hyperpotassemia,cough,0.05
Hyperpotassemia,leg pain,0.05
Hyperpotassemia,arm pain,0.05
Insulin pump status,cough,0.3333333333333333
Insulin pump status,diarrhea,0.3333333333333333
Insulin pump status,runny nose,0.3333333333333333
Other and unspecified hyperlipidemia,wheezing,0.03636363636363636
Other and unspecified hyperlipidemia,cough,0.12727272727272726
Other and unspecified hyperlipidemia,shortness of breath,0.14545454545454545
Other and unspecified hyperlipidemia,night sweats,0.10909090909090909
Other and unspecified hyperlipidemia,diarrhea,0.16363636363636364
Other and unspecified hyperlipidemia,abdominal pain,0.2
Other and unspecified hyperlipidemia,numbness,0.03636363636363636
Other and unspecified hyperlipidemia,headache,0.09090909090909091
Other and unspecified hyperlipidemia,blood clots,0.01818181818181818
Other and unspecified hyperlipidemia,dizziness,0.03636363636363636
Other and unspecified hyperlipidemia,hip pain,0.01818181818181818
Other and unspecified hyperlipidemia,unexplained weight loss,0.01818181818181818
"Dementia, unspecified, without behavioral disturbance",dizziness,0.1111111111111111
"Dementia, unspecified, without behavioral disturbance",cough,0.1111111111111111
"Dementia, unspecified, without behavioral disturbance",shoulder pain,0.1111111111111111
"Dementia, unspecified, without behavioral disturbance",shortness of breath,0.1111111111111111
"Dementia, unspecified, without behavioral disturbance",night sweats,0.1111111111111111
"Dementia, unspecified, without behavioral disturbance",diarrhea,0.1111111111111111
"Dementia, unspecified, without behavioral disturbance",abdominal pain,0.1111111111111111
"Dementia, unspecified, without behavioral disturbance",watery eyes,0.1111111111111111
"Dementia, unspecified, without behavioral disturbance",headache,0.1111111111111111
Coronary atherosclerosis of native coronary artery,diarrhea,0.10714285714285714
Coronary atherosclerosis of native coronary artery,dizziness,0.07142857142857142
Coronary atherosclerosis of native coronary artery,shoulder pain,0.03571428571428571
Coronary atherosclerosis of native coronary artery,cough,0.10714285714285714
Coronary atherosclerosis of native coronary artery,shortness of breath,0.17857142857142858
Coronary atherosclerosis of native coronary artery,hip pain,0.03571428571428571
Coronary atherosclerosis of native coronary artery,arm pain,0.03571428571428571
Coronary atherosclerosis of native coronary artery,nausea and vomiting,0.03571428571428571
Coronary atherosclerosis of native coronary artery,abdominal pain,0.10714285714285714
Coronary atherosclerosis of native coronary artery,fatigue,0.07142857142857142
Coronary atherosclerosis of native coronary artery,headache,0.07142857142857142
Coronary atherosclerosis of native coronary artery,heel pain,0.03571428571428571
Coronary atherosclerosis of native coronary artery,wheezing,0.03571428571428571
Coronary atherosclerosis of native coronary artery,night sweats,0.03571428571428571
Coronary atherosclerosis of native coronary artery,foot pain,0.03571428571428571
Incisional hernia without mention of obstruction or gangrene,blood clots,0.5
Incisional hernia without mention of obstruction or gangrene,shortness of breath,0.5
Obesity hypoventilation syndrome,wheezing,0.5
Obesity hypoventilation syndrome,cough,0.5
Esophageal reflux,wheezing,0.07894736842105263
Esophageal reflux,cough,0.13157894736842105
Esophageal reflux,blood clots,0.05263157894736842
Esophageal reflux,diarrhea,0.10526315789473684
Esophageal reflux,night sweats,0.07894736842105263
Esophageal reflux,shortness of breath,0.18421052631578946
