diagnosis,finding,evoking_strength,frequency
Do not resuscitate status,fatigue,1,0.2857142857142857
Do not resuscitate status,headache,1,0.14285714285714285
Do not resuscitate status,shortness of breath,1,0.14285714285714285
Do not resuscitate status,abdominal pain,1,0.14285714285714285
Do not resuscitate status,cough,1,0.14285714285714285
Do not resuscitate status,hip pain,1,0.14285714285714285
Cervicalgia,diarrhea,1,0.2
Cervicalgia,cough,1,0.2
Cervicalgia,headache,1,0.4
Cervicalgia,leg pain,1,0.2
Closed fracture of fourth cervical vertebra,dizziness,1,0.16666666666666666
Closed fracture of fourth cervical vertebra,cough,1,0.16666666666666666
Closed fracture of fourth cervical vertebra,diarrhea,1,0.16666666666666666
Closed fracture of fourth cervical vertebra,shoulder pain,1,0.16666666666666666
Closed fracture of fourth cervical vertebra,abdominal pain,1,0.16666666666666666
Closed fracture of fourth cervical vertebra,numbness,1,0.16666666666666666
Hypertrophy (benign) of prostate without urinary obstruction and other lower urinary tract symptom (LUTS),shortness of breath,1,0.2222222222222222
Hypertrophy (benign) of prostate without urinary obstruction and other lower urinary tract symptom (LUTS),cough,1,0.1111111111111111
Hypertrophy (benign) of prostate without urinary obstruction and other lower urinary tract symptom (LUTS),diarrhea,1,0.2222222222222222
Hypertrophy (benign) of prostate without urinary obstruction and other lower urinary tract symptom (LUTS),abdominal pain,1,0.2222222222222222
Hypertrophy (benign) of prostate without urinary obstruction and other lower urinary tract symptom (LUTS),numbness,1,0.2222222222222222
Personal history of urinary calculi,shortness of breath,1,0.15384615384615385
Personal history of urinary calculi,cough,1,0.15384615384615385
Personal history of urinary calculi,hip pain,1,0.07692307692307693
Personal history of urinary calculi,diarrhea,1,0.23076923076923078
Personal history of urinary calculi,abdominal pain,1,0.15384615384615385
Personal history of urinary calculi,nausea and vomiting,1,0.07692307692307693
Personal history of urinary calculi,dizziness,1,0.07692307692307693
Personal history of urinary calculi,headache,1,0.07692307692307693
Hyperpotassemia,wheezing,1,0.2
Hyperpotassemia,abdominal pain,1,0.1
Hyperpotassemia,fatigue,1,0.1
Hyperpotassemia,headache,1,0.1
Hyperpotassemia,diarrhea,1,0.15
Hyperpotassemia,shortness of breath,1,0.05
Hyperpotassemia,dizziness,1,0.05
Hyperpotassemia,cough,1,0.05
Hyperpotassemia,numbness,1,0.1
Hyperpotassemia,leg pain,1,0.05
Hyperpotassemia,arm pain,1,0.05
Insulin pump status,runny nose,1,0.3333333333333333
Insulin pump status,diarrhea,1,0.3333333333333333
Insulin pump status,cough,1,0.3333333333333333
Other and unspecified hyperlipidemia,shortness of breath,1,0.14545454545454545
Other and unspecified hyperlipidemia,cough,1,0.12727272727272726
Other and unspecified hyperlipidemia,diarrhea,1,0.16363636363636364
Other and unspecified hyperlipidemia,wheezing,1,0.03636363636363636
Other and unspecified hyperlipidemia,abdominal pain,1,0.2
Other and unspecified hyperlipidemia,night sweats,1,0.10909090909090909
Other and unspecified hyperlipidemia,headache,1,0.09090909090909091
Other and unspecified hyperlipidemia,numbness,1,0.03636363636363636
Other and unspecified hyperlipidemia,blood clots,1,0.01818181818181818
Other and unspecified hyperlipidemia,dizziness,1,0.03636363636363636
Other and unspecified hyperlipidemia,hip pain,1,0.01818181818181818
Other and unspecified hyperlipidemia,unexplained weight loss,1,0.01818181818181818
"Dementia, unspecified, without behavioral disturbance",shortness of breath,1,0.1111111111111111
"Dementia, unspecified, without behavioral disturbance",dizziness,1,0.1111111111111111
"Dementia, unspecified, without behavioral disturbance",cough,1,0.1111111111111111
"Dementia, unspecified, without behavioral disturbance",diarrhea,1,0.1111111111111111
"Dementia, unspecified, without behavioral disturbance",watery eyes,1,0.1111111111111111
"Dementia, unspecified, without behavioral disturbance",shoulder pain,1,0.1111111111111111
"Dementia, unspecified, without behavioral disturbance",headache,1,0.1111111111111111
"Dementia, unspecified, without behavioral disturbance",abdominal pain,1,0.1111111111111111
"Dementia, unspecified, without behavioral disturbance",night sweats,1,0.1111111111111111
Coronary atherosclerosis of native coronary artery,dizziness,1,0.07142857142857142
Coronary atherosclerosis of native coronary artery,diarrhea,1,0.10714285714285714
Coronary atherosclerosis of native coronary artery,arm pain,1,0.03571428571428571
Coronary atherosclerosis of native coronary artery,shortness of breath,1,0.17857142857142858
Coronary atherosclerosis of native coronary artery,nausea and vomiting,1,0.03571428571428571
Coronary atherosclerosis of native coronary artery,cough,1,0.10714285714285714
Coronary atherosclerosis of native coronary artery,hip pain,1,0.03571428571428571
Coronary atherosclerosis of native coronary artery,shoulder pain,1,0.03571428571428571
Coronary atherosclerosis of native coronary artery,abdominal pain,1,0.10714285714285714
Coronary atherosclerosis of native coronary artery,fatigue,1,0.07142857142857142
Coronary atherosclerosis of native coronary artery,headache,1,0.07142857142857142
Coronary atherosclerosis of native coronary artery,foot pain,1,0.03571428571428571
Coronary atherosclerosis of native coronary artery,wheezing,1,0.03571428571428571
Coronary atherosclerosis of native coronary artery,heel pain,1,0.03571428571428571
Coronary atherosclerosis of native coronary artery,night sweats,1,0.03571428571428571
Incisional hernia without mention of obstruction or gangrene,shortness of breath,1,0.5
Incisional hernia without mention of obstruction or gangrene,blood clots,1,0.5
Obesity hypoventilation syndrome,wheezing,1,0.5
Obesity hypoventilation syndrome,cough,1,0.5
Esophageal reflux,shortness of breath,1,0.18421052631578946
Esophageal reflux,cough,1,0.13157894736842105
Esophageal reflux,diarrhea,1,0.10526315789473684
Esophageal reflux,blood clots,1,0.05263157894736842
Esophageal reflux,headache,1,0.07894736842105263
Esophageal reflux,abdominal pain,1,0.15789473684210525
Esophageal reflux,wheezing,1,0.07894736842105263
Esophageal reflux,night sweats,1,0.07894736842105263
Esophageal reflux,fatigue,1,0.05263157894736842
Esophageal reflux,leg swelling,1,0.02631578947368421
Esophageal reflux,dizziness,1,0.02631578947368421
Esophageal reflux,hip pain,1,0.02631578947368421
"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",headache,1,0.1
"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",numbness,1,0.15
"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",cough,1,0.25
"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",ankle pain,1,0.05
"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",wheezing,1,0.05
"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",abdominal pain,1,0.1
"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",diarrhea,1,0.1
"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",shortness of breath,1,0.1
"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",night sweats,1,0.05
"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",fatigue,1,0.05
Unspecified viral hepatitis C without hepatic coma,shortness of breath,1,0.13333333333333333
Unspecified viral hepatitis C without hepatic coma,nausea and vomiting,1,0.06666666666666667
Unspecified viral hepatitis C without hepatic coma,dizziness,1,0.06666666666666667
Unspecified viral hepatitis C without hepatic coma,cough,1,0.2
Unspecified viral hepatitis C without hepatic coma,unexplained weight loss,1,0.06666666666666667
Unspecified viral hepatitis C without hepatic coma,headache,1,0.13333333333333333
Unspecified viral hepatitis C without hepatic coma,abdominal pain,1,0.2
Unspecified viral hepatitis C without hepatic coma,diarrhea,1,0.06666666666666667
Unspecified viral hepatitis C without hepatic coma,numbness,1,0.06666666666666667
Gastro-esophageal reflux disease without esophagitis,nausea and vomiting,1,0.05405405405405406
Gastro-esophageal reflux disease without esophagitis,shortness of breath,1,0.16216216216216217
Gastro-esophageal reflux disease without esophagitis,abdominal pain,1,0.16216216216216217
Gastro-esophageal reflux disease without esophagitis,cough,1,0.13513513513513514
Gastro-esophageal reflux disease without esophagitis,fatigue,1,0.05405405405405406
Gastro-esophageal reflux disease without esophagitis,diarrhea,1,0.10810810810810811
Gastro-esophageal reflux disease without esophagitis,night sweats,1,0.05405405405405406
Gastro-esophageal reflux disease without esophagitis,leg pain,1,0.02702702702702703
Gastro-esophageal reflux disease without esophagitis,shoulder pain,1,0.02702702702702703
Gastro-esophageal reflux disease without esophagitis,wheezing,1,0.05405405405405406
Gastro-esophageal reflux disease without esophagitis,numbness,1,0.02702702702702703
Gastro-esophageal reflux disease without esophagitis,joint pain,1,0.02702702702702703
Gastro-esophageal reflux disease without esophagitis,eye pain,1,0.02702702702702703
Gastro-esophageal reflux disease without esophagitis,headache,1,0.05405405405405406
Gastro-esophageal reflux disease without esophagitis,dizziness,1,0.02702702702702703
Unspecified intestinal obstruction,petechiae,1,0.08333333333333333
Unspecified intestinal obstruction,cough,1,0.16666666666666666
Unspecified intestinal obstruction,diarrhea,1,0.16666666666666666
Unspecified intestinal obstruction,wheezing,1,0.08333333333333333
Unspecified intestinal obstruction,abdominal pain,1,0.16666666666666666
Unspecified intestinal obstruction,shortness of breath,1,0.08333333333333333
Unspecified intestinal obstruction,dizziness,1,0.08333333333333333
Unspecified intestinal obstruction,headache,1,0.08333333333333333
Unspecified intestinal obstruction,numbness,1,0.08333333333333333
"Chronic kidney disease, Stage III (moderate)",shortness of breath,1,0.25
"Chronic kidney disease, Stage III (moderate)",fatigue,1,0.125
"Chronic kidney disease, Stage III (moderate)",cough,1,0.125
"Chronic kidney disease, Stage III (moderate)",wheezing,1,0.125
"Chronic kidney disease, Stage III (moderate)",abdominal pain,1,0.125
"Chronic kidney disease, Stage III (moderate)",leg pain,1,0.125
"Chronic kidney disease, Stage III (moderate)",headache,1,0.125
Personal history of tobacco use,shortness of breath,1,0.14285714285714285
Personal history of tobacco use,cough,1,0.21428571428571427
Personal history of tobacco use,runny nose,1,0.07142857142857142
Personal history of tobacco use,diarrhea,1,0.14285714285714285
Personal history of tobacco use,wheezing,1,0.07142857142857142
Personal history of tobacco use,abdominal pain,1,0.21428571428571427
Personal history of tobacco use,headache,1,0.07142857142857142
Personal history of tobacco use,numbness,1,0.07142857142857142
"Pressure ulcer of other site, unspecified stage",eosinophilia,1,0.3333333333333333
"Pressure ulcer of other site, unspecified stage",diarrhea,1,0.3333333333333333
"Pressure ulcer of other site, unspecified stage",cough,1,0.3333333333333333
Acidosis,abdominal pain,1,0.2
Acidosis,cough,1,0.4
Acidosis,headache,1,0.2
Acidosis,numbness,1,0.2
"Epilepsy, unspecified, not intractable, without status epilepticus",headache,1,0.5
"Epilepsy, unspecified, not intractable, without status epilepticus",abdominal pain,1,0.5
Antineoplastic and immunosuppressive drugs causing adverse effects in therapeutic use,nausea and vomiting,1,0.16666666666666666
Antineoplastic and immunosuppressive drugs causing adverse effects in therapeutic use,dizziness,1,0.16666666666666666
Antineoplastic and immunosuppressive drugs causing adverse effects in therapeutic use,cough,1,0.16666666666666666
Antineoplastic and immunosuppressive drugs causing adverse effects in therapeutic use,diarrhea,1,0.16666666666666666
Antineoplastic and immunosuppressive drugs causing adverse effects in therapeutic use,abdominal pain,1,0.16666666666666666
Antineoplastic and immunosuppressive drugs causing adverse effects in therapeutic use,headache,1,0.16666666666666666
"Bronchiectasis, uncomplicated",leg swelling,1,0.25
"Bronchiectasis, uncomplicated",shortness of breath,1,0.25
"Bronchiectasis, uncomplicated",wheezing,1,0.25
"Bronchiectasis, uncomplicated",cough,1,0.25
"Thrombocytopenia, unspecified",abdominal pain,1,0.2
"Thrombocytopenia, unspecified",diarrhea,1,0.13333333333333333
"Thrombocytopenia, unspecified",blood clots,1,0.13333333333333333
"Thrombocytopenia, unspecified",fatigue,1,0.06666666666666667
"Thrombocytopenia, unspecified",shortness of breath,1,0.13333333333333333
"Thrombocytopenia, unspecified",dizziness,1,0.06666666666666667
"Thrombocytopenia, unspecified",cough,1,0.13333333333333333
"Thrombocytopenia, unspecified",wheezing,1,0.06666666666666667
"Thrombocytopenia, unspecified",headache,1,0.06666666666666667
Essential (primary) hypertension,shortness of breath,1,0.1320754716981132
Essential (primary) hypertension,numbness,1,0.09433962264150944
Essential (primary) hypertension,petechiae,1,0.03773584905660377
Essential (primary) hypertension,muscle pain,1,0.018867924528301886
Essential (primary) hypertension,fatigue,1,0.09433962264150944
Essential (primary) hypertension,cough,1,0.1320754716981132
Essential (primary) hypertension,diarrhea,1,0.05660377358490566
Essential (primary) hypertension,headache,1,0.09433962264150944
Essential (primary) hypertension,abdominal pain,1,0.11320754716981132
Essential (primary) hypertension,night sweats,1,0.05660377358490566
Essential (primary) hypertension,wheezing,1,0.07547169811320754
Essential (primary) hypertension,blood clots,1,0.03773584905660377
Essential (primary) hypertension,dizziness,1,0.03773584905660377
Essential (primary) hypertension,leg pain,1,0.018867924528301886
Unspecified acquired hypothyroidism,shortness of breath,1,0.14814814814814814
Unspecified acquired hypothyroidism,cough,1,0.18518518518518517
Unspecified acquired hypothyroidism,diarrhea,1,0.1111111111111111
Unspecified acquired hypothyroidism,headache,1,0.1111111111111111
Unspecified acquired hypothyroidism,abdominal pain,1,0.14814814814814814
Unspecified acquired hypothyroidism,wheezing,1,0.037037037037037035
