diagnosis,symptom,frequency
Diabetes mellitus,chills,0.09184561810795125
Diabetes mellitus,blood clots,0.00943122460824144
Diabetes mellitus,shortness of breath,0.08473592571096925
Diabetes mellitus,cough,0.08096343586767267
Diabetes mellitus,back pain,0.034387695879280325
Diabetes mellitus,foot pain,0.00860901528342039
Diabetes mellitus,leg swelling,0.013106983942735538
Diabetes mellitus,abdominal pain,0.08671890114142
Diabetes mellitus,headache,0.03757980266976204
Diabetes mellitus,neck pain,0.00522344747533372
Diabetes mellitus,fever,0.0779647900947959
Diabetes mellitus,nausea,0.0961017604952602
Diabetes mellitus,diarrhea,0.07840007738440705
Diabetes mellitus,vomiting,0.0799961307796479
Diabetes mellitus,night sweats,0.01596053395240859
Diabetes mellitus,numbness,0.027858386535113175
Diabetes mellitus,insomnia,0.030373379763977557
Diabetes mellitus,dizziness,0.03327529502805185
Diabetes mellitus,runny nose,0.0017895144128458117
Diabetes mellitus,fatigue,0.025536854323853744
Diabetes mellitus,wheezing,0.029744631456761463
Diabetes mellitus,shoulder pain,0.005416908492938673
Diabetes mellitus,vaginal discharge,0.001596053395240859
Diabetes mellitus,green stool,0.00024182627200619076
Diabetes mellitus,joint pain,0.00261172373766686
Diabetes mellitus,leg pain,0.010688721222673631
Diabetes mellitus,arm pain,0.003482298316889147
Diabetes mellitus,groin pain,0.0011607661056297156
Diabetes mellitus,pelvic pain,0.0008222093248210486
Diabetes mellitus,vaginal bleeding,0.002853550009673051
Diabetes mellitus,anal pain,4.836525440123815e-05
Diabetes mellitus,heel pain,0.0005320177984136197
Diabetes mellitus,eye pain,0.0017411491584445734
Diabetes mellitus,red eye,4.836525440123815e-05
Diabetes mellitus,elbow pain,0.0006287483072160959
Diabetes mellitus,ankle pain,0.0012091313600309538
Diabetes mellitus,coughing up blood,0.00043528728961114336
Diabetes mellitus,nasal congestion,0.0032888372992841944
Diabetes mellitus,memory loss,0.0017411491584445734
Diabetes mellitus,frequent urination,0.0003869220352099052
Diabetes mellitus,rectal bleeding,0.0014025923776359063
Diabetes mellitus,hip pain,0.005078351712130006
Diabetes mellitus,unexplained weight loss,0.0007738440704198104
Diabetes mellitus,leg cramps,0.0010156703424260012
Diabetes mellitus,muscle pain,0.0009189398336235248
Diabetes mellitus,throat pain,0.0008222093248210486
Diabetes mellitus,frequent bowel movements,0.0003385567808086671
Diabetes mellitus,peeling skin,0.0001934610176049526
Diabetes mellitus,burning feet,4.836525440123815e-05
Diabetes mellitus,vaginal dryness,0.0001934610176049526
Diabetes mellitus,nipple discharge,4.836525440123815e-05
Diabetes mellitus,painful urination,0.00024182627200619076
Diabetes mellitus,nosebleeds,9.67305088024763e-05
Diabetes mellitus,watery eyes,4.836525440123815e-05
Diabetes mellitus,intestinal gas,4.836525440123815e-05
Diabetes mellitus,kidney pain,9.67305088024763e-05
Diabetes mellitus,eye twitching,4.836525440123815e-05
Diabetes mellitus,breast rash,4.836525440123815e-05
Bacterial and viral infectious agents,fatigue,0.025842888926921104
Bacterial and viral infectious agents,numbness,0.024131439329111756
Bacterial and viral infectious agents,back pain,0.03799418107136745
Bacterial and viral infectious agents,insomnia,0.02926578812253979
Bacterial and viral infectious agents,diarrhea,0.07992469621769639
Bacterial and viral infectious agents,abdominal pain,0.08146500085572479
Bacterial and viral infectious agents,wheezing,0.029436933082320725
Bacterial and viral infectious agents,cough,0.0765017970220777
Bacterial and viral infectious agents,shortness of breath,0.07804210166010611
Bacterial and viral infectious agents,fever,0.09943522163272292
Bacterial and viral infectious agents,chills,0.09703919219578984
Bacterial and viral infectious agents,leg swelling,0.008728392948827657
Bacterial and viral infectious agents,vaginal bleeding,0.0049632038336470995
Bacterial and viral infectious agents,nausea,0.09378743795995208
Bacterial and viral infectious agents,night sweats,0.019339380455245594
Bacterial and viral infectious agents,vomiting,0.07992469621769639
Bacterial and viral infectious agents,headache,0.037823036111586515
Bacterial and viral infectious agents,nasal congestion,0.0029094643162758858
Bacterial and viral infectious agents,shoulder pain,0.00616121855211364
Bacterial and viral infectious agents,arm pain,0.002396029436933082
Bacterial and viral infectious agents,dizziness,0.02464487420845456
Bacterial and viral infectious agents,throat pain,0.0018825945575902789
Bacterial and viral infectious agents,foot pain,0.00616121855211364
Bacterial and viral infectious agents,leg pain,0.0075303782303611155
Bacterial and viral infectious agents,hip pain,0.0075303782303611155
Bacterial and viral infectious agents,neck pain,0.005476638712989902
Bacterial and viral infectious agents,rectal bleeding,0.0010268697586856067
Bacterial and viral infectious agents,ankle pain,0.0010268697586856067
Bacterial and viral infectious agents,blood clots,0.009584117747732329
Bacterial and viral infectious agents,vaginal discharge,0.0037651891151805577
Bacterial and viral infectious agents,memory loss,0.0017114495978093444
Bacterial and viral infectious agents,joint pain,0.0035940441553996235
Bacterial and viral infectious agents,groin pain,0.002224884477152148
Bacterial and viral infectious agents,heel pain,0.0003422899195618689
Bacterial and viral infectious agents,frequent urination,0.0006845798391237378
Bacterial and viral infectious agents,eye pain,0.0003422899195618689
Bacterial and viral infectious agents,elbow pain,0.0006845798391237378
Bacterial and viral infectious agents,runny nose,0.0008557247989046722
Bacterial and viral infectious agents,pelvic pain,0.0020537395173712133
Bacterial and viral infectious agents,muscle pain,0.0008557247989046722
Bacterial and viral infectious agents,eye twitching,0.00017114495978093444
Bacterial and viral infectious agents,coughing up blood,0.00017114495978093444
Bacterial and viral infectious agents,unexplained weight loss,0.0005134348793428033
Bacterial and viral infectious agents,red eye,0.00017114495978093444
Bacterial and viral infectious agents,painful urination,0.0003422899195618689
Bacterial and viral infectious agents,kidney pain,0.00017114495978093444
Bacterial and viral infectious agents,frequent bowel movements,0.00017114495978093444
Bacterial and viral infectious agents,breast lumps,0.00017114495978093444
Bacterial and viral infectious agents,cold hands,0.00017114495978093444
Bacterial and viral infectious agents,leg cramps,0.00017114495978093444
Bacterial and viral infectious agents,urine odor,0.00017114495978093444
Bacterial and viral infectious agents,nosebleeds,0.00017114495978093444
Bacterial and viral infectious agents,nipple discharge,0.00017114495978093444
Bacterial and viral infectious agents,peeling skin,0.00017114495978093444
Unknown,back pain,0.032522361359570665
Unknown,abdominal pain,0.07803220035778176
Unknown,fatigue,0.03427549194991055
Unknown,shortness of breath,0.11348837209302326
Unknown,cough,0.09209302325581395
Unknown,fever,0.07330948121645796
Unknown,chills,0.08060822898032201
Unknown,headache,0.03373881932021467
Unknown,nausea,0.08465116279069768
Unknown,diarrhea,0.0706618962432916
Unknown,night sweats,0.01584973166368515
Unknown,vomiting,0.06894454382826476
Unknown,nasal congestion,0.0029695885509839
Unknown,leg swelling,0.01889087656529517
Unknown,wheezing,0.041967799642218244
Unknown,leg pain,0.008228980322003579
Unknown,insomnia,0.032128801431127015
Unknown,dizziness,0.040500894454382826
Unknown,shoulder pain,0.006332737030411449
Unknown,blood clots,0.011377459749552774
Unknown,numbness,0.020178890876565294
Unknown,foot pain,0.0036493738819320214
Unknown,runny nose,0.002110912343470483
Unknown,neck pain,0.006225402504472272
Unknown,memory loss,0.002003577817531306
Unknown,rectal bleeding,0.0021824686940966013
Unknown,arm pain,0.002361359570661896
Unknown,joint pain,0.0026475849731663684
Unknown,vaginal bleeding,0.001967799642218247
Unknown,hip pain,0.005760286225402505
Unknown,excessive sweating,3.5778175313059034e-05
Unknown,throat pain,0.001001788908765653
Unknown,breast rash,0.0001073345259391771
Unknown,ankle pain,0.001073345259391771
Unknown,elbow pain,0.0003220035778175313
Unknown,eye pain,0.0009302325581395349
Unknown,pelvic pain,0.00035778175313059033
Unknown,frequent bowel movements,0.00014311270125223614
Unknown,vaginal discharge,0.0009302325581395349
Unknown,groin pain,0.001180679785330948
Unknown,leg cramps,0.00046511627906976747
Unknown,muscle pain,0.0007871198568872987
Unknown,coughing up blood,0.0008586762075134168
Unknown,nosebleeds,0.0007155635062611807
Unknown,watery eyes,0.00014311270125223614
Unknown,green stool,0.00014311270125223614
Unknown,unexplained weight loss,0.0002862254025044723
Unknown,frequent urination,0.00039355992844364936
Unknown,vaginal dryness,3.5778175313059034e-05
Unknown,cold hands,3.5778175313059034e-05
Unknown,breast lumps,7.155635062611807e-05
Unknown,peeling skin,3.5778175313059034e-05
Unknown,kidney pain,3.5778175313059034e-05
Unknown,anal pain,3.5778175313059034e-05
Unknown,heel pain,0.0001073345259391771
Unknown,nipple discharge,3.5778175313059034e-05
Unknown,eye twitching,3.5778175313059034e-05
Unknown,frequent bruising,3.5778175313059034e-05
"Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified",fever,0.11532625189681335
"Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified",nausea,0.08952959028831563
"Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified",diarrhea,0.06676783004552352
"Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified",coughing up blood,0.0030349013657056147
"Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified",numbness,0.015174506828528073
"Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified",vomiting,0.08042488619119878
"Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified",shortness of breath,0.10015174506828528
"Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified",insomnia,0.04400606980273141
"Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified",chills,0.07890743550834597
"Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified",wheezing,0.07283763277693475
"Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified",cough,0.11077389984825493
"Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified",neck pain,0.007587253414264037
"Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified",back pain,0.024279210925644917
"Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified",abdominal pain,0.0637329286798179
"Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified",headache,0.028831562974203338
"Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified",dizziness,0.028831562974203338
"Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified",fatigue,0.019726858877086494
"Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified",blood clots,0.012139605462822459
"Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified",arm pain,0.0030349013657056147
"Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified",rectal bleeding,0.0015174506828528073
"Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified",leg pain,0.006069802731411229
"Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified",leg swelling,0.0030349013657056147
"Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified",vaginal discharge,0.0030349013657056147
"Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified",vaginal bleeding,0.006069802731411229
"Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified",night sweats,0.006069802731411229
"Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified",joint pain,0.0015174506828528073
"Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified",shoulder pain,0.004552352048558422
"Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified",foot pain,0.0015174506828528073
"Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified",throat pain,0.0015174506828528073
Chronic lower respiratory diseases,fever,0.07678943710910355
Chronic lower respiratory diseases,chills,0.07887421820708826
Chronic lower respiratory diseases,nausea,0.08756080611535788
Chronic lower respiratory diseases,back pain,0.03630993745656706
Chronic lower respiratory diseases,cough,0.09233842946490618
Chronic lower respiratory diseases,wheezing,0.06749478804725503
Chronic lower respiratory diseases,shortness of breath,0.101546212647672
Chronic lower respiratory diseases,diarrhea,0.0682765809589993
Chronic lower respiratory diseases,abdominal pain,0.07696316886726894
Chronic lower respiratory diseases,vomiting,0.07105628908964559
Chronic lower respiratory diseases,headache,0.035441278665740095
Chronic lower respiratory diseases,blood clots,0.013377345378735233
Chronic lower respiratory diseases,frequent bowel movements,0.00017373175816539263
Chronic lower respiratory diseases,muscle pain,0.0017373175816539264
Chronic lower respiratory diseases,dizziness,0.027449617790132035
Chronic lower respiratory diseases,insomnia,0.0330090340514246
Chronic lower respiratory diseases,fatigue,0.02215079916608756
Chronic lower respiratory diseases,numbness,0.02050034746351633
Chronic lower respiratory diseases,leg swelling,0.011900625434329395
Chronic lower respiratory diseases,joint pain,0.003561501042390549
Chronic lower respiratory diseases,pelvic pain,0.0013029881862404447
Chronic lower respiratory diseases,night sweats,0.01554899235580264
Chronic lower respiratory diseases,rectal bleeding,0.001911049339819319
Chronic lower respiratory diseases,nasal congestion,0.003561501042390549
Chronic lower respiratory diseases,eye pain,0.0010423905489923557
Chronic lower respiratory diseases,hip pain,0.005038220986796386
Chronic lower respiratory diseases,shoulder pain,0.0057331480194579565
Chronic lower respiratory diseases,nosebleeds,0.00026059763724808893
Chronic lower respiratory diseases,runny nose,0.002519110493398193
Chronic lower respiratory diseases,foot pain,0.003040305767894371
Chronic lower respiratory diseases,unexplained weight loss,0.0005211952744961779
Chronic lower respiratory diseases,leg pain,0.010250173731758166
Chronic lower respiratory diseases,vaginal dryness,0.00017373175816539263
Chronic lower respiratory diseases,ankle pain,0.0012161223071577485
Chronic lower respiratory diseases,green stool,0.00017373175816539263
Chronic lower respiratory diseases,vaginal bleeding,0.0031271716469770676
Chronic lower respiratory diseases,vaginal discharge,0.00165045170257123
Chronic lower respiratory diseases,neck pain,0.006167477414871439
Chronic lower respiratory diseases,peeling skin,0.00017373175816539263
Chronic lower respiratory diseases,throat pain,0.00165045170257123
Chronic lower respiratory diseases,elbow pain,0.0005211952744961779
Chronic lower respiratory diseases,arm pain,0.002692842251563586
Chronic lower respiratory diseases,leg cramps,0.0004343293954134816
Chronic lower respiratory diseases,painful urination,0.00017373175816539263
Chronic lower respiratory diseases,groin pain,0.0008686587908269632
Chronic lower respiratory diseases,frequent urination,0.0006949270326615705
Chronic lower respiratory diseases,memory loss,0.0019979152189020153
Chronic lower respiratory diseases,excessive sweating,8.686587908269631e-05
Chronic lower respiratory diseases,coughing up blood,0.0005211952744961779
Chronic lower respiratory diseases,breast rash,0.00017373175816539263
Chronic lower respiratory diseases,nipple discharge,0.00017373175816539263
Chronic lower respiratory diseases,frequent bruising,8.686587908269631e-05
Aplastic and other anemias and other bone marrow failure syndromes,fever,0.0802407221664995
Aplastic and other anemias and other bone marrow failure syndromes,nausea,0.0926350480011463
Aplastic and other anemias and other bone marrow failure syndromes,diarrhea,0.08231838372259637
Aplastic and other anemias and other bone marrow failure syndromes,blood clots,0.010603238286287434
Aplastic and other anemias and other bone marrow failure syndromes,vomiting,0.07501074652529016
Aplastic and other anemias and other bone marrow failure syndromes,frequent urination,0.0005015045135406219
Aplastic and other anemias and other bone marrow failure syndromes,abdominal pain,0.09356641352629316
Aplastic and other anemias and other bone marrow failure syndromes,dizziness,0.03073506232984668
Aplastic and other anemias and other bone marrow failure syndromes,shortness of breath,0.08246167072646511
Aplastic and other anemias and other bone marrow failure syndromes,cough,0.08231838372259637
Aplastic and other anemias and other bone marrow failure syndromes,fatigue,0.03438888092849979
Aplastic and other anemias and other bone marrow failure syndromes,headache,0.039977074079381
Aplastic and other anemias and other bone marrow failure syndromes,insomnia,0.03216793236853417
Aplastic and other anemias and other bone marrow failure syndromes,wheezing,0.029015618283421692
Aplastic and other anemias and other bone marrow failure syndromes,chills,0.08174523570712136
Aplastic and other anemias and other bone marrow failure syndromes,back pain,0.035463533457515406
Aplastic and other anemias and other bone marrow failure syndromes,numbness,0.01920045851841238
Aplastic and other anemias and other bone marrow failure syndromes,shoulder pain,0.006662845679896833
Aplastic and other anemias and other bone marrow failure syndromes,leg pain,0.009815159765009313
Aplastic and other anemias and other bone marrow failure syndromes,neck pain,0.004656827625734346
Aplastic and other anemias and other bone marrow failure syndromes,leg swelling,0.011534603811434303
Aplastic and other anemias and other bone marrow failure syndromes,night sweats,0.018842241008740507
Aplastic and other anemias and other bone marrow failure syndromes,runny nose,0.0026508095715718585
Aplastic and other anemias and other bone marrow failure syndromes,coughing up blood,0.0010746525290156184
Aplastic and other anemias and other bone marrow failure syndromes,nasal congestion,0.002865740077374982
Aplastic and other anemias and other bone marrow failure syndromes,pelvic pain,0.0011462960309499928
Aplastic and other anemias and other bone marrow failure syndromes,rectal bleeding,0.003653818598653102
Aplastic and other anemias and other bone marrow failure syndromes,vaginal bleeding,0.0055881931508812155
Aplastic and other anemias and other bone marrow failure syndromes,foot pain,0.0031523140851124802
Aplastic and other anemias and other bone marrow failure syndromes,hip pain,0.007307637197306204
Aplastic and other anemias and other bone marrow failure syndromes,leg cramps,0.000644791517409371
Aplastic and other anemias and other bone marrow failure syndromes,arm pain,0.0017910875483593638
Aplastic and other anemias and other bone marrow failure syndromes,unexplained weight loss,0.0009313655251468692
Aplastic and other anemias and other bone marrow failure syndromes,ankle pain,0.0010030090270812437
Aplastic and other anemias and other bone marrow failure syndromes,joint pain,0.0026508095715718585
Aplastic and other anemias and other bone marrow failure syndromes,vaginal discharge,0.003009027081243731
Aplastic and other anemias and other bone marrow failure syndromes,muscle pain,0.0005731480154749964
Aplastic and other anemias and other bone marrow failure syndromes,groin pain,0.0013612265367531164
Aplastic and other anemias and other bone marrow failure syndromes,painful urination,0.0002865740077374982
Aplastic and other anemias and other bone marrow failure syndromes,elbow pain,0.0005731480154749964
Aplastic and other anemias and other bone marrow failure syndromes,throat pain,0.0016478005444906148
Aplastic and other anemias and other bone marrow failure syndromes,eye pain,0.0010746525290156184
Aplastic and other anemias and other bone marrow failure syndromes,nosebleeds,0.000644791517409371
Aplastic and other anemias and other bone marrow failure syndromes,vaginal dryness,0.0001432870038687491
Aplastic and other anemias and other bone marrow failure syndromes,green stool,0.00021493050580312365
Aplastic and other anemias and other bone marrow failure syndromes,nipple discharge,7.164350193437455e-05
Aplastic and other anemias and other bone marrow failure syndromes,memory loss,0.0012179395328843674
Aplastic and other anemias and other bone marrow failure syndromes,peeling skin,0.00021493050580312365
Aplastic and other anemias and other bone marrow failure syndromes,breast rash,7.164350193437455e-05
Aplastic and other anemias and other bone marrow failure syndromes,excessive sweating,7.164350193437455e-05
Aplastic and other anemias and other bone marrow failure syndromes,heel pain,7.164350193437455e-05
Aplastic and other anemias and other bone marrow failure syndromes,kidney pain,7.164350193437455e-05
Aplastic and other anemias and other bone marrow failure syndromes,frequent bruising,7.164350193437455e-05
Aplastic and other anemias and other bone marrow failure syndromes,frequent bowel movements,0.0001432870038687491
Aplastic and other anemias and other bone marrow failure syndromes,watery eyes,7.164350193437455e-05
Aplastic and other anemias and other bone marrow failure syndromes,anal pain,7.164350193437455e-05
Acute kidney failure and chronic kidney disease,fever,0.07539682539682539
Acute kidney failure and chronic kidney disease,chills,0.08572515764296586
Acute kidney failure and chronic kidney disease,nausea,0.09208523592085235
Acute kidney failure and chronic kidney disease,diarrhea,0.08083278973689932
